NOC_10,Jobs Benchmark,Jobs Alternative,"Growth of Employment, Jan-Feb, 2020","Growth of Employment, Feb-Mar, 2020","Growth of Employment, Mar-Apr, 2020","Growth of Employment, Feb-Apr, 2020"
Management occupations,0.66,0.47,0.12,-5.42,-5.65,-11.38
"Business, finance and administration occupations",0.85,0.59,0.28,-3.71,-3.31,-7.14
Natural and applied sciences and related occupations,0.55,0.54,1.28,-3.83,-4.55,-8.55
Health occupations,0.12,0.08,0.1,-4.87,-4.39,-9.47
"Occupations in education, law and social, community and government services",0.7,0.7,-0.14,-4.97,-4.38,-9.56
"Occupations in art, culture, recreation and sport",0.48,0.34,1.79,-7.11,-1.57,-8.79
Sales and service occupations,0.25,0.24,0.64,-8.99,-5.04,-14.49
"Trades, transport and equipment operators and related occupations",0,0,0.54,-7.46,-5.12,-12.96
"Natural resources, agriculture and related production occupations",0,0,-3.54,-7.93,-4.95,-13.27
Occupations in manufacturing and utilities,0.01,0,1.48,-8.29,-3.96,-12.58