Sector,Canada,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
Agriculture,0.22,0.23,0.14,0.25,0.23,0.09,0.16,0.31,0.12,0.25,0.19
Forestry and logging and support activities for forestry,0.27,0.26,0.29,0.15,0.40,0.31,0.16,0.25,0.22,0.29,0.19
"Fishing, hunting and trapping",0.19,0.25,0.02,0.30,0.16,0.24,0.38,0.02,0.32,0.02,0.07
"Mining, quarrying, and oil and gas extraction",0.32,0.35,0.34,0.24,0.32,0.39,0.25,0.34,0.15,0.33,0.34
Utilities,0.38,0.35,0.42,0.34,0.35,0.45,0.44,0.39,0.36,0.41,0.35
Construction,0.38,0.40,0.39,0.36,0.38,0.30,0.33,0.39,0.34,0.42,0.29
Manufacturing - durable goods,0.36,0.35,0.37,0.33,0.37,0.32,0.37,0.37,0.31,0.40,0.32
Manufacturing - non-durable goods,0.33,0.34,0.36,0.31,0.28,0.26,0.33,0.37,0.29,0.32,0.34
Wholesale trade,0.41,0.40,0.40,0.43,0.40,0.42,0.40,0.43,0.32,0.41,0.38
Retail trade,0.36,0.38,0.36,0.34,0.36,0.38,0.37,0.37,0.35,0.35,0.37
Transportation and warehousing,0.38,0.34,0.39,0.41,0.43,0.36,0.37,0.40,0.36,0.37,0.35
Finance and insurance,0.57,0.60,0.55,0.53,0.58,0.70,0.54,0.59,0.64,0.55,0.56
Real estate and rental and leasing,0.42,0.43,0.40,0.41,0.40,0.48,0.43,0.44,0.43,0.43,0.37
"Professional, scientific and technical services",0.41,0.41,0.43,0.37,0.39,0.39,0.45,0.44,0.46,0.38,0.38
"Business, building and other support service",0.32,0.31,0.30,0.29,0.35,0.37,0.32,0.34,0.32,0.30,0.34
Educational services,0.40,0.40,0.39,0.38,0.36,0.42,0.40,0.42,0.45,0.38,0.39
Health care and social assistance,0.38,0.39,0.37,0.36,0.37,0.34,0.40,0.42,0.39,0.36,0.38
"Information, culture and recreation",0.39,0.39,0.40,0.39,0.38,0.37,0.35,0.40,0.35,0.41,0.37
Accommodation and food services,0.35,0.39,0.30,0.30,0.39,0.33,0.40,0.36,0.22,0.35,0.43
Other services (except public administration),0.36,0.37,0.36,0.36,0.29,0.35,0.35,0.39,0.31,0.32,0.39
Public administration,0.35,0.36,0.34,0.37,0.32,0.32,0.34,0.35,0.37,0.36,0.37
,,,,,,,,,,,